Oberschicht (OS): LZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraktion Nr.,[mm],1,1-2b,2b,3-4,4-6a,6a,6a-6b,6b,6b-5,5,5-7a,7a,7b,7b-8a,8a,8a-8b,8b,8b-10,10,10-11,11,11-12,12,13,14b,15,15-16,16,17,18,19a,19b,20a,20b,20b-21a,21a,21a-21b,21b,22b,22a,22a-23,23,23-24,24,Average,
8,256,0.04,0.02,0.00,0.03,0.02,0.00,0.00,0.00,0.02,0.05,0.02,0.00,0.00,0.00,0.01,0.04,0.07,0.04,0.00,0.01,0.01,0.01,0.00,0.03,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,
7,128,0.23,0.16,0.09,0.19,0.12,0.05,0.05,0.06,0.16,0.27,0.19,0.10,0.04,0.11,0.19,0.20,0.21,0.13,0.06,0.14,0.22,0.16,0.10,0.15,0.09,0.17,0.15,0.13,0.05,0.05,0.13,0.12,0.19,0.14,0.09,0.04,0.07,0.10,0.21,0.10,0.08,0.06,0.08,0.09,0.13,
6,64,0.38,0.38,0.38,0.33,0.39,0.44,0.45,0.45,0.43,0.41,0.47,0.52,0.45,0.48,0.51,0.40,0.29,0.33,0.37,0.45,0.52,0.44,0.36,0.31,0.41,0.43,0.35,0.28,0.36,0.41,0.40,0.44,0.37,0.53,0.43,0.33,0.42,0.51,0.45,0.55,0.41,0.26,0.36,0.46,0.41,
5,32,0.35,0.37,0.38,0.28,0.39,0.51,0.46,0.42,0.35,0.27,0.32,0.38,0.51,0.41,0.29,0.28,0.26,0.35,0.44,0.34,0.25,0.31,0.38,0.51,0.43,0.40,0.49,0.57,0.45,0.45,0.39,0.36,0.30,0.33,0.41,0.49,0.44,0.39,0.28,0.32,0.33,0.35,0.40,0.45,0.38,
4,16,0.00,0.07,0.15,0.17,0.08,0.00,0.04,0.07,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.17,0.15,0.13,0.06,0.00,0.08,0.16,0.00,0.07,0.00,0.00,0.00,0.14,0.09,0.08,0.08,0.14,0.00,0.07,0.14,0.07,0.00,0.06,0.03,0.14,0.24,0.12,0.00,0.07,
3,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.04,0.00,0.00,
2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,Summe,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unterschicht (US): Siebung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraktion Nr.,[mm],1,1-2b,2b,3-4,4-6a,6a,6a-6b,6b,6b-5,5,5-7a,7a,7b,7b-8a,8a,8a-8b,8b,8b-10,10,10-11,11,11-12,12,13,14b,15,15-16,16,17,18,19a,19b,20a,20b,20b-21a,21a,21a-21b,21b,22b,22a,22a-23,23,23-24,24,Average,
8,256,0.00,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
7,128,0.00,0.05,0.10,0.02,0.09,0.14,0.09,0.04,0.10,0.17,0.09,0.02,0.00,0.06,0.12,0.09,0.06,0.04,0.03,0.02,0.02,0.04,0.06,0.02,0.02,0.03,0.04,0.05,0.03,0.01,0.03,0.01,0.03,0.02,0.01,0.01,0.02,0.03,0.01,0.02,0.01,0.00,0.01,0.02,0.04,
6,64,0.01,0.03,0.06,0.08,0.17,0.20,0.14,0.08,0.11,0.14,0.09,0.05,0.01,0.10,0.19,0.12,0.05,0.03,0.02,0.02,0.02,0.04,0.06,0.02,0.01,0.02,0.10,0.17,0.09,0.06,0.12,0.01,0.06,0.04,0.04,0.03,0.03,0.03,0.06,0.11,0.06,0.00,0.03,0.06,0.07,
5,32,0.07,0.14,0.20,0.20,0.18,0.12,0.16,0.17,0.21,0.21,0.18,0.13,0.10,0.18,0.25,0.22,0.18,0.25,0.30,0.24,0.17,0.16,0.17,0.30,0.19,0.09,0.18,0.29,0.29,0.29,0.20,0.23,0.32,0.40,0.30,0.19,0.18,0.20,0.20,0.29,0.20,0.15,0.17,0.22,0.21,
4,16,0.17,0.16,0.16,0.14,0.14,0.13,0.14,0.16,0.13,0.10,0.14,0.18,0.67,0.38,0.10,0.12,0.15,0.17,0.19,0.22,0.25,0.21,0.16,0.19,0.16,0.10,0.11,0.12,0.14,0.15,0.16,0.13,0.25,0.20,0.18,0.17,0.19,0.21,0.21,0.18,0.18,0.17,0.16,0.14,0.17,
3,8,0.41,0.31,0.21,0.23,0.18,0.16,0.20,0.25,0.20,0.15,0.24,0.32,0.07,0.09,0.11,0.16,0.21,0.23,0.25,0.25,0.25,0.26,0.27,0.23,0.28,0.28,0.23,0.17,0.14,0.24,0.18,0.30,0.17,0.15,0.18,0.20,0.23,0.25,0.24,0.20,0.25,0.30,0.25,0.20,0.22,
2,2,0.09,0.08,0.06,0.05,0.06,0.07,0.07,0.07,0.05,0.04,0.06,0.08,0.02,0.03,0.04,0.05,0.06,0.06,0.05,0.06,0.07,0.08,0.08,0.06,0.09,0.07,0.06,0.04,0.05,0.06,0.09,0.08,0.01,0.03,0.04,0.06,0.06,0.05,0.07,0.03,0.05,0.06,0.08,0.09,0.06,
1,1,0.25,0.21,0.17,0.28,0.18,0.18,0.20,0.23,0.19,0.16,0.19,0.22,0.13,0.16,0.19,0.24,0.29,0.22,0.16,0.19,0.22,0.21,0.20,0.18,0.25,0.41,0.28,0.16,0.26,0.19,0.22,0.24,0.16,0.16,0.25,0.34,0.29,0.23,0.21,0.17,0.25,0.32,0.30,0.27,0.22,
,Summe,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
